         Index            Ts             t            HF        Weight            RH            Tr
             0   2.16584e+01   0.00000e+00  -1.25838e+01   1.95387e+01   1.24000e+01   1.80000e+01
             1   2.16474e+01   1.00000e+00  -1.25744e+01   1.95371e+01   1.24000e+01   1.80000e+01
             2   2.16277e+01   2.00000e+00  -1.25676e+01   1.95355e+01   1.23000e+01   1.80000e+01
             3   2.16225e+01   3.00000e+00  -1.25614e+01   1.95338e+01   1.22000e+01   1.80000e+01
             4   2.16075e+01   4.00000e+00  -1.25515e+01   1.95315e+01   1.21000e+01   1.80000e+01
             5   2.15948e+01   5.00000e+00  -1.25452e+01   1.95294e+01   1.21000e+01   1.80000e+01
             6   2.15927e+01   6.00000e+00  -1.25394e+01   1.95274e+01   1.21000e+01   1.80000e+01
             7   2.15983e+01   7.00000e+00  -1.25343e+01   1.95253e+01   1.20000e+01   1.80000e+01
             8   2.15926e+01   8.00000e+00  -1.25270e+01   1.95232e+01   1.20000e+01   1.80000e+01
             9   2.15733e+01   9.00000e+00  -1.25198e+01   1.95211e+01   1.20000e+01   1.80000e+01
            10   2.15647e+01   1.00000e+01  -1.25126e+01   1.95190e+01   1.20000e+01   1.80000e+01
            11   2.15667e+01   1.10000e+01  -1.25073e+01   1.95168e+01   1.20000e+01   1.80000e+01
            12   2.15421e+01   1.20000e+01  -1.25023e+01   1.95147e+01   1.19000e+01   1.80000e+01
            13   2.15349e+01   1.30000e+01  -1.24965e+01   1.95125e+01   1.19000e+01   1.80000e+01
            14   2.15414e+01   1.40000e+01  -1.24903e+01   1.95104e+01   1.19000e+01   1.80000e+01
            15   2.15359e+01   1.50000e+01  -1.24835e+01   1.95083e+01   1.18000e+01   1.80000e+01
            16   2.15011e+01   1.60000e+01  -1.24768e+01   1.95062e+01   1.18000e+01   1.80000e+01
            17   2.15016e+01   1.70000e+01  -1.24705e+01   1.95041e+01   1.17000e+01   1.80000e+01
            18   2.14909e+01   1.80000e+01  -1.24645e+01   1.95021e+01   1.17000e+01   1.80000e+01
            19   2.14818e+01   1.90000e+01  -1.24589e+01   1.95000e+01   1.17000e+01   1.80000e+01
            20   2.14752e+01   2.00000e+01  -1.24559e+01   1.94980e+01   1.17000e+01   1.80000e+01
            21   2.14829e+01   2.10000e+01  -1.24518e+01   1.94959e+01   1.17000e+01   1.80000e+01
            22   2.14501e+01   2.20000e+01  -1.24463e+01   1.94938e+01   1.16000e+01   1.80000e+01
