         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   2.68001e+01   0.00000e+00  -6.83531e+00   1.13564e+01   2.50000e+01
             1   2.68016e+01   1.00000e+00  -6.77591e+00   1.13561e+01   2.51667e+01
             2   2.68271e+01   2.00000e+00  -6.61698e+00   1.13559e+01   2.53333e+01
             3   2.68790e+01   3.00000e+00  -6.38466e+00   1.13557e+01   2.55000e+01
             4   2.69658e+01   4.00000e+00  -6.15161e+00   1.13555e+01   2.56667e+01
             5   2.71029e+01   5.00000e+00  -5.92177e+00   1.13553e+01   2.58333e+01
             6   2.72291e+01   6.00000e+00  -5.78760e+00   1.13552e+01   2.60000e+01
             7   2.73916e+01   7.00000e+00  -5.73446e+00   1.13550e+01   2.61667e+01
             8   2.75427e+01   8.00000e+00  -5.77711e+00   1.13547e+01   2.63333e+01
             9   2.76802e+01   9.00000e+00  -5.83614e+00   1.13545e+01   2.65000e+01
            10   2.78356e+01   1.00000e+01  -5.90069e+00   1.13542e+01   2.66667e+01
            11   2.79886e+01   1.10000e+01  -5.97265e+00   1.13540e+01   2.68333e+01
            12   2.81541e+01   1.20000e+01  -6.02417e+00   1.13537e+01   2.70000e+01
            13   2.83318e+01   1.30000e+01  -6.05726e+00   1.13534e+01   2.71667e+01
            14   2.84887e+01   1.40000e+01  -6.08618e+00   1.13533e+01   2.73333e+01
            15   2.86596e+01   1.50000e+01  -6.12431e+00   1.13531e+01   2.75000e+01
            16   2.88415e+01   1.60000e+01  -6.13762e+00   1.13531e+01   2.76667e+01
            17   2.90012e+01   1.70000e+01  -6.16765e+00   1.13530e+01   2.78333e+01
            18   2.91771e+01   1.80000e+01  -6.19318e+00   1.13528e+01   2.80000e+01
            19   2.93500e+01   1.90000e+01  -6.22152e+00   1.13526e+01   2.81667e+01
            20   2.95233e+01   2.00000e+01  -6.18778e+00   1.13523e+01   2.83333e+01
            21   2.96848e+01   2.10000e+01  -6.18392e+00   1.13520e+01   2.85000e+01
            22   2.98615e+01   2.20000e+01  -6.18867e+00   1.13517e+01   2.86667e+01
            23   3.00181e+01   2.30000e+01  -6.18664e+00   1.13514e+01   2.88333e+01
            24   3.01877e+01   2.40000e+01  -6.14049e+00   1.13510e+01   2.90000e+01
            25   3.03719e+01   2.50000e+01  -6.11888e+00   1.13506e+01   2.91667e+01
            26   3.05379e+01   2.60000e+01  -6.10186e+00   1.13502e+01   2.93333e+01
            27   3.07238e+01   2.70000e+01  -6.08472e+00   1.13498e+01   2.95000e+01
            28   3.08674e+01   2.80000e+01  -6.04863e+00   1.13493e+01   2.96667e+01
            29   3.10417e+01   2.90000e+01  -6.02110e+00   1.13488e+01   2.98333e+01
            30   3.12086e+01   3.00000e+01  -5.99511e+00   1.13483e+01   3.00000e+01
            31   3.13802e+01   3.10000e+01  -5.96857e+00   1.13478e+01   3.01667e+01
            32   3.15562e+01   3.20000e+01  -5.93238e+00   1.13471e+01   3.03333e+01
            33   3.16971e+01   3.30000e+01  -5.90076e+00   1.13466e+01   3.05000e+01
            34   3.18829e+01   3.40000e+01  -5.87077e+00   1.13460e+01   3.06667e+01
            35   3.20308e+01   3.50000e+01  -5.84158e+00   1.13454e+01   3.08333e+01
            36   3.22004e+01   3.60000e+01  -5.80884e+00   1.13449e+01   3.10000e+01
            37   3.23684e+01   3.70000e+01  -5.77764e+00   1.13444e+01   3.11667e+01
            38   3.25354e+01   3.80000e+01  -5.74794e+00   1.13439e+01   3.13333e+01
            39   3.26901e+01   3.90000e+01  -5.71987e+00   1.13435e+01   3.15000e+01
            40   3.28462e+01   4.00000e+01  -5.69170e+00   1.13431e+01   3.16667e+01
            41   3.30187e+01   4.10000e+01  -5.66521e+00   1.13425e+01   3.18333e+01
            42   3.31698e+01   4.20000e+01  -5.63908e+00   1.13420e+01   3.20000e+01
            43   3.33442e+01   4.30000e+01  -5.61333e+00   1.13415e+01   3.21667e+01
            44   3.34998e+01   4.40000e+01  -5.59354e+00   1.13408e+01   3.23333e+01
            45   3.36529e+01   4.50000e+01  -5.57182e+00   1.13401e+01   3.25000e+01
            46   3.38055e+01   4.60000e+01  -5.55012e+00   1.13394e+01   3.26667e+01
            47   3.39733e+01   4.70000e+01  -5.52853e+00   1.13387e+01   3.28333e+01
            48   3.41198e+01   4.80000e+01  -5.51489e+00   1.13379e+01   3.30000e+01
            49   3.42865e+01   4.90000e+01  -5.49752e+00   1.13371e+01   3.31667e+01
            50   3.44335e+01   5.00000e+01  -5.47993e+00   1.13363e+01   3.33333e+01
            51   3.46039e+01   5.10000e+01  -5.46206e+00   1.13355e+01   3.35000e+01
            52   3.47523e+01   5.20000e+01  -5.44807e+00   1.13347e+01   3.36667e+01
            53   3.49293e+01   5.30000e+01  -5.43265e+00   1.13338e+01   3.38333e+01
            54   3.50764e+01   5.40000e+01  -5.41731e+00   1.13329e+01   3.40000e+01
            55   3.52495e+01   5.50000e+01  -5.40277e+00   1.13319e+01   3.41667e+01
            56   3.53998e+01   5.60000e+01  -5.39348e+00   1.13309e+01   3.43333e+01
            57   3.55618e+01   5.70000e+01  -5.38323e+00   1.13300e+01   3.45000e+01
            58   3.57129e+01   5.80000e+01  -5.37246e+00   1.13290e+01   3.46667e+01
            59   3.58819e+01   5.90000e+01  -5.36064e+00   1.13280e+01   3.48333e+01
            60   3.60295e+01   6.00000e+01  -5.35486e+00   1.13270e+01   3.50000e+01
            61   3.62018e+01   6.10000e+01  -5.34796e+00   1.13260e+01   3.51667e+01
            62   3.63614e+01   6.20000e+01  -5.34137e+00   1.13250e+01   3.53333e+01
            63   3.65232e+01   6.30000e+01  -5.33603e+00   1.13240e+01   3.55000e+01
            64   3.66648e+01   6.40000e+01  -5.33548e+00   1.13230e+01   3.56667e+01
            65   3.68285e+01   6.50000e+01  -5.33225e+00   1.13219e+01   3.58333e+01
            66   3.69871e+01   6.60000e+01  -5.32869e+00   1.13208e+01   3.60000e+01
            67   3.71575e+01   6.70000e+01  -5.32510e+00   1.13197e+01   3.61667e+01
            68   3.73049e+01   6.80000e+01  -5.32523e+00   1.13185e+01   3.63333e+01
            69   3.74505e+01   6.90000e+01  -5.32448e+00   1.13173e+01   3.65000e+01
            70   3.76081e+01   7.00000e+01  -5.32325e+00   1.13161e+01   3.66667e+01
            71   3.77716e+01   7.10000e+01  -5.32139e+00   1.13149e+01   3.68333e+01
            72   3.79281e+01   7.20000e+01  -5.32471e+00   1.13135e+01   3.70000e+01
            73   3.80944e+01   7.30000e+01  -5.32536e+00   1.13123e+01   3.71667e+01
            74   3.82454e+01   7.40000e+01  -5.32553e+00   1.13110e+01   3.73333e+01
            75   3.84113e+01   7.50000e+01  -5.32673e+00   1.13097e+01   3.75000e+01
            76   3.85878e+01   7.60000e+01  -5.32902e+00   1.13083e+01   3.76667e+01
            77   3.87268e+01   7.70000e+01  -5.33061e+00   1.13069e+01   3.78333e+01
            78   3.88875e+01   7.80000e+01  -5.33287e+00   1.13055e+01   3.80000e+01
            79   3.90514e+01   7.90000e+01  -5.33585e+00   1.13041e+01   3.81667e+01
            80   3.92067e+01   8.00000e+01  -5.34031e+00   1.13026e+01   3.83333e+01
            81   3.93768e+01   8.10000e+01  -5.34410e+00   1.13012e+01   3.85000e+01
            82   3.95325e+01   8.20000e+01  -5.34735e+00   1.12997e+01   3.86667e+01
            83   3.96861e+01   8.30000e+01  -5.35052e+00   1.12982e+01   3.88333e+01
            84   3.98437e+01   8.40000e+01  -5.35898e+00   1.12967e+01   3.90000e+01
            85   3.99857e+01   8.50000e+01  -5.36463e+00   1.12952e+01   3.91667e+01
            86   4.01675e+01   8.60000e+01  -5.37006e+00   1.12937e+01   3.93333e+01
            87   4.03257e+01   8.70000e+01  -5.37586e+00   1.12921e+01   3.95000e+01
            88   4.04785e+01   8.80000e+01  -5.38401e+00   1.12905e+01   3.96667e+01
