         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   2.90672e+01   0.00000e+00  -7.21004e+00   1.53652e+01   2.50000e+01
             1   2.90590e+01   1.00000e+00  -7.17635e+00   1.53648e+01   2.51667e+01
             2   2.90508e+01   2.00000e+00  -7.06151e+00   1.53645e+01   2.53333e+01
             3   2.90726e+01   3.00000e+00  -6.87723e+00   1.53641e+01   2.55000e+01
             4   2.91271e+01   4.00000e+00  -6.67836e+00   1.53638e+01   2.56667e+01
             5   2.92291e+01   5.00000e+00  -6.50985e+00   1.53635e+01   2.58333e+01
             6   2.93354e+01   6.00000e+00  -6.44414e+00   1.53632e+01   2.60000e+01
             7   2.94384e+01   7.00000e+00  -6.47317e+00   1.53629e+01   2.61667e+01
             8   2.95700e+01   8.00000e+00  -6.59278e+00   1.53627e+01   2.63333e+01
             9   2.97085e+01   9.00000e+00  -6.72901e+00   1.53624e+01   2.65000e+01
            10   2.98213e+01   1.00000e+01  -6.86627e+00   1.53620e+01   2.66667e+01
            11   2.99765e+01   1.10000e+01  -6.99928e+00   1.53617e+01   2.68333e+01
            12   3.01030e+01   1.20000e+01  -7.12331e+00   1.53612e+01   2.70000e+01
            13   3.02517e+01   1.30000e+01  -7.22903e+00   1.53609e+01   2.71667e+01
            14   3.03996e+01   1.40000e+01  -7.34540e+00   1.53605e+01   2.73333e+01
            15   3.05417e+01   1.50000e+01  -7.46686e+00   1.53601e+01   2.75000e+01
            16   3.06793e+01   1.60000e+01  -7.54008e+00   1.53597e+01   2.76667e+01
            17   3.08304e+01   1.70000e+01  -7.62397e+00   1.53592e+01   2.78333e+01
            18   3.09912e+01   1.80000e+01  -7.70999e+00   1.53587e+01   2.80000e+01
            19   3.11296e+01   1.90000e+01  -7.78088e+00   1.53581e+01   2.81667e+01
            20   3.12889e+01   2.00000e+01  -7.78796e+00   1.53573e+01   2.83333e+01
            21   3.14441e+01   2.10000e+01  -7.81324e+00   1.53566e+01   2.85000e+01
            22   3.15963e+01   2.20000e+01  -7.83184e+00   1.53557e+01   2.86667e+01
            23   3.17409e+01   2.30000e+01  -7.85528e+00   1.53549e+01   2.88333e+01
            24   3.18851e+01   2.40000e+01  -7.83577e+00   1.53539e+01   2.90000e+01
            25   3.20457e+01   2.50000e+01  -7.83347e+00   1.53529e+01   2.91667e+01
            26   3.21876e+01   2.60000e+01  -7.82547e+00   1.53520e+01   2.93333e+01
            27   3.23528e+01   2.70000e+01  -7.82143e+00   1.53510e+01   2.95000e+01
            28   3.24860e+01   2.80000e+01  -7.79072e+00   1.53501e+01   2.96667e+01
            29   3.26348e+01   2.90000e+01  -7.77411e+00   1.53492e+01   2.98333e+01
            30   3.27973e+01   3.00000e+01  -7.75970e+00   1.53484e+01   3.00000e+01
            31   3.29374e+01   3.10000e+01  -7.74412e+00   1.53476e+01   3.01667e+01
            32   3.30841e+01   3.20000e+01  -7.71247e+00   1.53469e+01   3.03333e+01
            33   3.32270e+01   3.30000e+01  -7.68754e+00   1.53461e+01   3.05000e+01
            34   3.33852e+01   3.40000e+01  -7.66322e+00   1.53454e+01   3.06667e+01
            35   3.35460e+01   3.50000e+01  -7.63800e+00   1.53446e+01   3.08333e+01
            36   3.36754e+01   3.60000e+01  -7.60231e+00   1.53438e+01   3.10000e+01
            37   3.38266e+01   3.70000e+01  -7.57331e+00   1.53429e+01   3.11667e+01
            38   3.39777e+01   3.80000e+01  -7.54557e+00   1.53420e+01   3.13333e+01
            39   3.41287e+01   3.90000e+01  -7.51769e+00   1.53411e+01   3.15000e+01
            40   3.42786e+01   4.00000e+01  -7.48459e+00   1.53399e+01   3.16667e+01
            41   3.44235e+01   4.10000e+01  -7.45428e+00   1.53388e+01   3.18333e+01
            42   3.45726e+01   4.20000e+01  -7.42630e+00   1.53377e+01   3.20000e+01
            43   3.47120e+01   4.30000e+01  -7.39942e+00   1.53366e+01   3.21667e+01
            44   3.48646e+01   4.40000e+01  -7.37206e+00   1.53354e+01   3.23333e+01
            45   3.50113e+01   4.50000e+01  -7.34449e+00   1.53342e+01   3.25000e+01
            46   3.51510e+01   4.60000e+01  -7.31768e+00   1.53331e+01   3.26667e+01
            47   3.53055e+01   4.70000e+01  -7.29215e+00   1.53320e+01   3.28333e+01
            48   3.54381e+01   4.80000e+01  -7.27022e+00   1.53308e+01   3.30000e+01
            49   3.56024e+01   4.90000e+01  -7.24742e+00   1.53297e+01   3.31667e+01
            50   3.57332e+01   5.00000e+01  -7.22462e+00   1.53285e+01   3.33333e+01
            51   3.58812e+01   5.10000e+01  -7.20213e+00   1.53273e+01   3.35000e+01
            52   3.60344e+01   5.20000e+01  -7.18630e+00   1.53260e+01   3.36667e+01
            53   3.61863e+01   5.30000e+01  -7.16695e+00   1.53246e+01   3.38333e+01
            54   3.63172e+01   5.40000e+01  -7.14762e+00   1.53232e+01   3.40000e+01
            55   3.64673e+01   5.50000e+01  -7.12883e+00   1.53218e+01   3.41667e+01
            56   3.65956e+01   5.60000e+01  -7.11261e+00   1.53202e+01   3.43333e+01
            57   3.67607e+01   5.70000e+01  -7.09543e+00   1.53188e+01   3.45000e+01
            58   3.69100e+01   5.80000e+01  -7.07870e+00   1.53174e+01   3.46667e+01
            59   3.70410e+01   5.90000e+01  -7.06149e+00   1.53160e+01   3.48333e+01
            60   3.71851e+01   6.00000e+01  -7.04781e+00   1.53146e+01   3.50000e+01
            61   3.73382e+01   6.10000e+01  -7.03174e+00   1.53132e+01   3.51667e+01
            62   3.74849e+01   6.20000e+01  -7.01467e+00   1.53119e+01   3.53333e+01
            63   3.76216e+01   6.30000e+01  -6.99771e+00   1.53106e+01   3.55000e+01
            64   3.77717e+01   6.40000e+01  -6.98355e+00   1.53092e+01   3.56667e+01
            65   3.79149e+01   6.50000e+01  -6.96870e+00   1.53079e+01   3.58333e+01
            66   3.80813e+01   6.60000e+01  -6.95466e+00   1.53065e+01   3.60000e+01
            67   3.82062e+01   6.70000e+01  -6.94132e+00   1.53052e+01   3.61667e+01
            68   3.83655e+01   6.80000e+01  -6.92905e+00   1.53038e+01   3.63333e+01
            69   3.85212e+01   6.90000e+01  -6.91663e+00   1.53024e+01   3.65000e+01
            70   3.86600e+01   7.00000e+01  -6.90553e+00   1.53011e+01   3.66667e+01
            71   3.88131e+01   7.10000e+01  -6.89533e+00   1.52997e+01   3.68333e+01
            72   3.89577e+01   7.20000e+01  -6.88936e+00   1.52983e+01   3.70000e+01
            73   3.91212e+01   7.30000e+01  -6.88145e+00   1.52969e+01   3.71667e+01
            74   3.92567e+01   7.40000e+01  -6.87344e+00   1.52954e+01   3.73333e+01
            75   3.94144e+01   7.50000e+01  -6.86542e+00   1.52939e+01   3.75000e+01
            76   3.95604e+01   7.60000e+01  -6.86325e+00   1.52922e+01   3.76667e+01
            77   3.97073e+01   7.70000e+01  -6.85858e+00   1.52905e+01   3.78333e+01
            78   3.98638e+01   7.80000e+01  -6.85397e+00   1.52888e+01   3.80000e+01
            79   3.99974e+01   7.90000e+01  -6.85010e+00   1.52871e+01   3.81667e+01
            80   4.01312e+01   8.00000e+01  -6.85064e+00   1.52852e+01   3.83333e+01
            81   4.02999e+01   8.10000e+01  -6.84923e+00   1.52834e+01   3.85000e+01
            82   4.04487e+01   8.20000e+01  -6.84795e+00   1.52815e+01   3.86667e+01
            83   4.05941e+01   8.30000e+01  -6.84639e+00   1.52797e+01   3.88333e+01
            84   4.07488e+01   8.40000e+01  -6.84635e+00   1.52778e+01   3.90000e+01
            85   4.08827e+01   8.50000e+01  -6.84553e+00   1.52758e+01   3.91667e+01
            86   4.10411e+01   8.60000e+01  -6.84501e+00   1.52739e+01   3.93333e+01
            87   4.11913e+01   8.70000e+01  -6.84421e+00   1.52720e+01   3.95000e+01
            88   4.13343e+01   8.80000e+01  -6.84709e+00   1.52700e+01   3.96667e+01
            89   4.14806e+01   8.90000e+01  -6.84855e+00   1.52680e+01   3.98333e+01
            90   4.16255e+01   9.00000e+01  -6.84950e+00   1.52660e+01   4.00000e+01
            91   4.17959e+01   9.10000e+01  -6.85114e+00   1.52640e+01   4.01667e+01
            92   4.19371e+01   9.20000e+01  -6.85193e+00   1.52620e+01   4.03333e+01
            93   4.20978e+01   9.30000e+01  -6.85340e+00   1.52600e+01   4.05000e+01
            94   4.22406e+01   9.40000e+01  -6.85387e+00   1.52580e+01   4.06667e+01
            95   4.23749e+01   9.50000e+01  -6.85445e+00   1.52560e+01   4.08333e+01
            96   4.25446e+01   9.60000e+01  -6.85670e+00   1.52540e+01   4.10000e+01
            97   4.26827e+01   9.70000e+01  -6.85843e+00   1.52520e+01   4.11667e+01
            98   4.28342e+01   9.80000e+01  -6.86037e+00   1.52500e+01   4.13333e+01
            99   4.29940e+01   9.90000e+01  -6.86209e+00   1.52480e+01   4.15000e+01
           100   4.31446e+01   1.00000e+02  -6.86578e+00   1.52460e+01   4.16667e+01
           101   4.32825e+01   1.01000e+02  -6.86926e+00   1.52440e+01   4.18333e+01
           102   4.34427e+01   1.02000e+02  -6.87269e+00   1.52420e+01   4.20000e+01
           103   4.36075e+01   1.03000e+02  -6.87597e+00   1.52399e+01   4.21667e+01
           104   4.37438e+01   1.04000e+02  -6.87965e+00   1.52378e+01   4.23333e+01
           105   4.39068e+01   1.05000e+02  -6.88299e+00   1.52357e+01   4.25000e+01
           106   4.40533e+01   1.06000e+02  -6.88595e+00   1.52335e+01   4.26667e+01
           107   4.42106e+01   1.07000e+02  -6.88933e+00   1.52313e+01   4.28333e+01
           108   4.43720e+01   1.08000e+02  -6.89553e+00   1.52291e+01   4.30000e+01
           109   4.45185e+01   1.09000e+02  -6.90076e+00   1.52268e+01   4.31667e+01
           110   4.46731e+01   1.10000e+02  -6.90541e+00   1.52246e+01   4.33333e+01
           111   4.48181e+01   1.11000e+02  -6.91033e+00   1.52224e+01   4.35000e+01
           112   4.49780e+01   1.12000e+02  -6.91650e+00   1.52201e+01   4.36667e+01
           113   4.51158e+01   1.13000e+02  -6.92251e+00   1.52179e+01   4.38333e+01
           114   4.52855e+01   1.14000e+02  -6.92782e+00   1.52156e+01   4.40000e+01
           115   4.54293e+01   1.15000e+02  -6.93316e+00   1.52133e+01   4.41667e+01
           116   4.55976e+01   1.16000e+02  -6.94051e+00   1.52109e+01   4.43333e+01
           117   4.57449e+01   1.17000e+02  -6.94730e+00   1.52085e+01   4.45000e+01
           118   4.59019e+01   1.18000e+02  -6.95310e+00   1.52061e+01   4.46667e+01
           119   4.60582e+01   1.19000e+02  -6.95854e+00   1.52037e+01   4.48333e+01
           120   4.62069e+01   1.20000e+02  -6.96749e+00   1.52012e+01   4.50000e+01
           121   4.63619e+01   1.21000e+02  -6.97528e+00   1.51988e+01   4.51667e+01
