         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   2.48449e+01   0.00000e+00  -6.40120e+00   1.33280e+01   2.50000e+01
             1   2.48625e+01   1.00000e+00  -6.33700e+00   1.33280e+01   2.51667e+01
             2   2.49064e+01   2.00000e+00  -6.22270e+00   1.33280e+01   2.53333e+01
             3   2.49556e+01   3.00000e+00  -6.01451e+00   1.33280e+01   2.55000e+01
             4   2.50718e+01   4.00000e+00  -5.82935e+00   1.33280e+01   2.56667e+01
             5   2.52006e+01   5.00000e+00  -5.64168e+00   1.33280e+01   2.58333e+01
             6   2.53393e+01   6.00000e+00  -5.53529e+00   1.33280e+01   2.60000e+01
             7   2.54905e+01   7.00000e+00  -5.49230e+00   1.33280e+01   2.61667e+01
             8   2.56677e+01   8.00000e+00  -5.60962e+00   1.33280e+01   2.63333e+01
             9   2.58325e+01   9.00000e+00  -5.72508e+00   1.33279e+01   2.65000e+01
            10   2.60063e+01   1.00000e+01  -5.83992e+00   1.33278e+01   2.66667e+01
            11   2.61714e+01   1.10000e+01  -5.94987e+00   1.33277e+01   2.68333e+01
            12   2.63426e+01   1.20000e+01  -6.05413e+00   1.33276e+01   2.70000e+01
            13   2.65189e+01   1.30000e+01  -6.13759e+00   1.33276e+01   2.71667e+01
            14   2.67032e+01   1.40000e+01  -6.23166e+00   1.33276e+01   2.73333e+01
            15   2.68908e+01   1.50000e+01  -6.33109e+00   1.33276e+01   2.75000e+01
            16   2.70606e+01   1.60000e+01  -6.37376e+00   1.33278e+01   2.76667e+01
            17   2.72497e+01   1.70000e+01  -6.43742e+00   1.33279e+01   2.78333e+01
            18   2.74275e+01   1.80000e+01  -6.50494e+00   1.33279e+01   2.80000e+01
            19   2.76154e+01   1.90000e+01  -6.56070e+00   1.33280e+01   2.81667e+01
            20   2.78032e+01   2.00000e+01  -6.55918e+00   1.33279e+01   2.83333e+01
            21   2.79728e+01   2.10000e+01  -6.57957e+00   1.33279e+01   2.85000e+01
